"week","pass_rate"
"2017-05-22 00:00:00","84"
"2017-05-29 00:00:00","82"
"2017-06-05 00:00:00","89"
"2017-06-12 00:00:00","96"
"2017-06-19 00:00:00","96"
"2017-06-26 00:00:00","95"
"2017-07-03 00:00:00","96"
"2017-07-10 00:00:00","92"
"2017-07-17 00:00:00","91"
"2017-07-24 00:00:00","91"
"2017-07-31 00:00:00","92"
"2017-08-07 00:00:00","91"
"2017-08-14 00:00:00","89"
"2017-08-21 00:00:00","91"
"2017-08-28 00:00:00","90"
"2017-09-04 00:00:00","88"
"2017-09-11 00:00:00","85"
"2017-09-18 00:00:00","80"
"2017-09-25 00:00:00","77"
"2017-10-02 00:00:00","72"
"2017-10-09 00:00:00","71"
"2017-10-16 00:00:00","71"
"2017-10-23 00:00:00","77"
"2017-10-30 00:00:00","85"
